Timestamp (s),Magnitude 1 (dB),Magnitude 2 (dB),Magnitude Difference (dB),Phase Difference (deg)
59.03318190574646,19.527887723046693,-56.21560276561085,-75.74349048865754,189.41111569795254
59.092615842819214,19.528907276733676,-56.19774273294119,-75.72665000967487,189.46403706713303
59.15180492401123,19.518278345703713,-56.12298203947247,-75.64126038517618,189.34912582424857
59.21118688583374,19.52370887342576,-56.125757430766576,-75.64946630419234,189.32411589959497
59.27127194404602,19.52524465181003,-56.146413629207174,-75.6716582810172,189.39606712407777
59.331820011138916,19.509538511131176,-56.03573413372516,-75.54527264485634,189.0088499365968
59.392356872558594,19.510056857131552,-56.084413931766704,-75.59447078889826,188.6049236347291
59.45185399055481,19.53042470989836,-56.15982579213954,-75.6902505020379,189.4183850175894
59.511433839797974,19.526342836458443,-56.13103342503096,-75.6573762614894,189.26185487365933
59.57178592681885,19.527543990259385,-56.19268058982996,-75.72022458008935,-171.04254998402152
59.631731033325195,19.524832073410202,-56.135510272591375,-75.66034234600158,189.28015226168716
59.6900908946991,19.529116289377505,-56.163341453011014,-75.69245774238851,-170.71714512736602
59.74945592880249,19.526638060108443,-56.104780506267424,-75.63141856637587,189.29819159963748
59.808103799819946,19.51047009751011,-56.02583322074162,-75.53630331825173,189.078492737584
59.86682081222534,19.523312510998178,-56.119465748506165,-75.64277825950434,188.87293610817716
59.92606592178345,19.519922988444065,-56.022717268835564,-75.54264025727963,189.2140511151189
59.98607683181763,19.512311507334186,-55.99438470792401,-75.5066962152582,188.70556730155567
60.04537081718445,19.515657322275985,-56.02802725997119,-75.54368458224718,188.65921954831924
60.10508179664612,19.529382042426516,-56.11017695174986,-75.63955899417637,189.37148949472686
60.16365098953247,19.510802461181814,-55.969101203817466,-75.47990366499928,188.59249272523272
60.2233829498291,19.51064570206984,-55.967560386458494,-75.47820608852834,188.6826149415345
60.282832860946655,19.516266000632648,-55.98528782648575,-75.5015538271184,189.1778681405184
60.33680987358093,19.52468174304791,-55.99091659954769,-75.5155983425956,189.14442581576026
60.39158511161804,19.514442172623617,-55.96898501582675,-75.48342718845038,188.57325315721587
60.44757604598999,19.510332561994982,-55.91597618194232,-75.4263087439373,188.78803857738575
60.503803968429565,19.524913214928098,-55.94468010772684,-75.46959332265493,189.37789386683622
60.56213307380676,19.522523986597058,-55.9597684471204,-75.48229243371746,188.9094128174944
60.6205518245697,19.51333654883357,-55.88195898051068,-75.39529552934425,188.85106733178344
60.67993688583374,19.526170155847975,-55.92365733919837,-75.44982749504635,189.17728347960056
60.73882794380188,19.527585262740907,-55.95410903150592,-75.48169429424684,-170.6391779795348
60.79824686050415,19.512436387133178,-55.828485218673435,-75.34092160580661,189.2013048677989
60.85854887962341,19.52286385263543,-55.93874355208253,-75.46160740471797,189.02924984096677
60.917465925216675,19.513589588069703,-55.849555571045485,-75.36314515911519,188.963150734926
60.977216958999634,19.523252591496064,-55.90834422536463,-75.43159681686069,189.60872751349154
61.03760886192322,19.515576352464652,-55.9059658095941,-75.42154216205876,188.9790713567472
61.09689283370972,19.51101410217789,-55.93710704937739,-75.44812115155528,188.859039036807
61.15657901763916,19.520439393128864,-55.97568385729525,-75.49612325042412,189.51625268584655
61.215564012527466,19.51423622598354,-55.93182678787638,-75.44606301385993,189.4118108375307
61.27482080459595,19.5120130414347,-55.93954834687931,-75.45156138831402,189.13491471906565
61.33555889129639,19.51525685944876,-55.954373321541254,-75.46963018099001,189.3210816168902
61.395628929138184,19.51781590420972,-56.00224112528991,-75.52005702949964,189.0182194987216
61.45513081550598,19.51208535526878,-55.940359803527414,-75.4524451587962,188.98314269124344
61.513848066329956,19.53084901683287,-56.03543540135581,-75.56628441818869,-170.20742451479722
61.572824001312256,19.529450901931995,-56.047998621529075,-75.57744952346107,-170.40557635814613
61.633434772491455,19.51047753834884,-55.93124118141705,-75.44171871976589,189.44793174203775
61.69264483451843,19.51319187001826,-55.9239413396499,-75.43713320966816,189.75432601616805
61.75456786155701,19.510910853911227,-55.96639481457903,-75.47730566849026,189.22750994777613
61.81339502334595,19.511644941992763,-55.98111056058148,-75.49275550257424,189.7910818531978
61.872759103775024,19.511626071264022,-56.02045282051998,-75.532078891784,189.96726341126157
61.93234586715698,19.513492314617164,-56.04411263473514,-75.55760494935231,189.3041094704306
61.991344928741455,19.521144234683995,-56.15569921304986,-75.67684344773386,189.5288898262703
62.051385164260864,19.514499343793954,-56.103900851837665,-75.61840019563162,189.3736218704451
62.110063791275024,19.522142058163368,-56.08174183448231,-75.60388389264568,190.13689368173658
